Text;Label
desain rumah cinta darkjokes;positive
sayang jgn marah ayo natal lucu istighfar takut lanjut darkjokes;negative
bahas politik perintah kelas epic gak bahas darkjokes kelas bareng dosen senior;positive
dirs canda gak sabar;positive
kids better watch out santa likes no witnesses;positive
think allah is the one true god mean the universe did start with big explosion;positive
spit on blind children and tell them its raining;negative
saw website for orphans unfortunately it doesnt have home page;negative
all the zodiac signs have great hair apart from cancer;positive
whats similar between pregnant year old and the fetus inside of her they are both thinking oh shit my mom;positive
malkoolu trsro ggorqq server kingloreen;neutral
prefer open minded know her chara well my enthusiast and have good sense of darkjokes is an put;positive
turumu pirang jam seh jam weik opoo cek rasa cepat ken cepet mati ta amal sak berapa;positive
iya emang darkjokes ya msk situ miskah yaallah bengek;neutral
tw harshwords darkjokes asli ngakak banget yaallah ketawain jam;positive
alumni sekolah gue tinggal terus pada canda pakai embel embel darkjokes pls tidak usah kayak orang;positive
gpp mah alami orang bikin darkjokes sok sok;negative
minum kopi pakai sendok teh kopi teh;neutral
farizali dongper damn darkjokes banget;positive
tebak tebak yuk buah buah bikin bahagia bahagia;positive
bening asli bebas ga standar darkjokes bebas;positive
matahari terbit mana timur pantas orang timur hitam;negative
darkjokes ga nahan ketawa;positive
buraya bakarlar trsro ggorqq server kingloreen;neutral
whats the difference between apple and orphan apples gets picked;neutral
gasii udah usaha maksimal oh okey tapi nyata nya kek hanya anggap darkjokes gitu;positive
lucu banget jokes anak twitter banget lucu;positive
were you also thinking these when you toured house;neutral
im still not over them and never will;neutral
bisa darkjokes;neutral
kalo kerumun pakai baju partai politik gapapa;neutral
banding apple to apple;neutral
ya kalo gue suka darkjokes ngejokes at least gua sesuai tingkat bawa asa lu ket;positive
was playing chess with my friend and he said lets make this interesting so we stopped playing chess;positive
my boss told me to have good day so went home;positive
dark jokes is like kids with cancer never getting old;negative
saya suka banget darkjokes ngaoa;positive
trsro ggorqq server kingloreen;neutral
if yall got any funny jokes you want me to read in part of my live stream later leave them in reply on this pos;positive
temen saya harap banget masuk surga ibu tidak punya kaki;positive
kamalinaan hereyna darkjokes pis;neutral
komenlurr permisi paket jawab tonight show;neutral
saya bikin dark jokes orang buta saya takut dilihatin orang buta nya karena singgung;negative
gelap kakean lihat darkjokes;negative
darkjokes tp dah diapus;neutral
darkjokes base;negative
abis baca darkjokes atheis gabisa dapat jodoh jodoh tang tuhan;neutral
tukang gali kubur harap jual makan harap lapar polisi harap kri;neutral
hyang hyung darkjokes bengek;neutral
darkjokes banget sii;neutral
am though kompilasi darkjokes ketekkiman takut ninuninu;negative
fionyjkt darkjokes gelap;negative
oalah bingung meme darkjokes gitu ya okayyy makas audrey;negative
bosen kasih darkjokes;positive
kisah kawas nabi adam jigana mung abi teu acan pasihan istigfar na;neutral
yok kluarin darkjokes saya nyanyi lagukeluarga panti asuh;neutral
lucu iki guduk darkjokes iki arah porn seh turut;positive
nama lucu bengek hyung;positive
ganteng harta;positive
ovo orang jokes lucu darkjokes jg oke go ngakak ill hit ur dm say;positive
darkjokes is sarcasm;neutral
apas darkjokes;neutral
pikir darkjokes pliss get me out here its too darkkk;neutral
darkjokes nya bikin resah;negative
fess late night party ayo ketawa bareng drop darkjokes baik versi;positive
orang koma lomba lama tidur lucu bangsat;positive
tolong darkjokes resah bund;negative
orang normal kalo ngevape trick bulet hebat orang sumbing bikin love;positive
orang tuli alam kubur man robbuka hahhh kenapa;neutral
klo dibandinkan fb twitter jokes twiter jokes;neutral
have joke about food but kids in africa wouldnt get it;neutral
darkjokes anak daerah viral anggota organisasi masyarakat kena opresi;neutral
stand up lekne darkjokes;neutral
ajarin nge darkjokes;neutral
udah lord darkjokes;neutral
moga ibu mbak pacar ilfeel seram kepada kerja whatsapp upload dark jokes;negative
twitter isnt twitter without selebtwit dokter problematika libtard moralis maha ngomong kasar dark jokes;negative
mardial jelek emang tidak aib etika mu aib anak jelek lucu trigger;negative
selamat malam doi rambut gua panjang jepitin pas gua main hp lucu ngga doi gua ajajajaj;positive
selamat malam doi rambut gua panjang jepitin pas gua main hp lucu ngga doi gua;positive
dark jokes kemarin jadi astaga;negative
ntar kasih dark jokes beneran bilang tidak punya asa hati nurani mana wkwkw;positive
sadar ga anak tiktok toxic parah deh ya ngatain fisik dikit jadi konten canda;positive
himbauan juang adil sosial nek nonton begini jek ketawa ra sah sok hakim dark jokes wkwk;positive
sadar ga anak tiktok toxic parah deh ya ngatain fisik dikit jadi konten;negative
wkwkw dark jokes sasaranya adalah amerika;negative
kenapa ya sebut dark jokes popular kaya gada batas wajar jokes;positive
libur kemarin udah bilang klo divisi kudu ningkatin prokes minimalisir had;neutral
suka dark jokes;positive
ngakak woor dark jokes see lucu;positive
dark jokes benar bocah;positive
sibuk ngurusin bully dark jokes nyata maksud;positive
dark jokesnya cok ngawur sepakat tulis terima kasih tulis deng;positive
aman ya sel wkwk tidak ada adegan hanya ya takut habis nonton trauma;negative
pikir jorok hanya jokes dark banget maapin;negative
hmm dark jokes lucu;positive
dark jokes lucu;positive
tell me dark jokes sakit yatim sara;negative
orang suka ga ngerti beda satir sarkas dark jokes cari aman;negative
broke girls dunia sensitif dirty dark jokes ditanggepin santuy;negative
dikit bawa dark power apa sirkel lo tantang petenteng nganggep guyon oran;negative
kaijose valid no debat nder isi dark jokes;positive
dark jokes gak kuat baca;negative
dark jokes terbaiq lucu;positive
masuk dark jokes ga lucu;positive
ikut family guy series kartun penuh dark jokes kadang super tega this is how they roast celebrit;positive
twat dark jokes lo offensive banget bro;negative
gue aneh gimana dah temen gue baca dark jokes grup chat pancing marah gue baca;negative
jenis lele suka dark jokes cokiparlele;positive
mood dark jokes banget lucu;positive
ketawa teman bahas dark jokes perihal orang tua pas motor pulangdalam hati enak;positive
thetruth aneh cok sisi teriak gak ras rasisme canda sisi;negative
dark jokes gelap gelap hyung;negative
tetap tertawa pandemi mcdanny dark jokesnya sensor clean wkwk da;positive
maaf gue suka dark jokes dick jokes meme gak mu;positive
kasih tau dark jokes nya vi lu ganti istri vi anjim gelap banget njirrr;negative
tiktok banget anjing dark jokes goblok mampus punchlinenya lucu liat kaya niat;negative
hitam dark jokes;negative
lawa murah kaum dark jokes;positive
beer cki trtan lucu pas suka ngeroasting yutuber sekarang jokesnya ga masuk gua pribada da;positive
moat pr mazak banana intehai ghatiya harkat hai kuch pia crash pr jokes crack kr dark humor sabit kr rhe thy kuch ksi;positive
