text;label;;;;;
desain rumah cinta darkjokes;1;;;;;
sayang marah ayo natal lucu istighfar takut lanjut darkjokes;-1;;;;;
bahas politik perintah kelas epic bahas darkjokes kelas bareng dosen senior;1;;;;negative;391
dirs canda sabar;1;;;;positive;3698
kids better watch out santa likes witnesses;1;;;;total data;4089
think allah one true god mean universe start with big explosion;1;;;;;
spit blind children tell them its raining;-1;;;;;
saw website orphans unfortunately doesnt have home page;-1;;;;;
all zodiac signs have great hair apart cancer;1;;;;;
whats similar between pregnant year old fetus inside her both thinking shit mom;1;;;;;
turumu pirang jam jam weik opoo cek rasa cepat ken cepet mati amal berapa;1;;;;;
emang darkjokes msk situ miskah yaallah bengek;0;;;;;
harshwords darkjokes asli ngakak yaallah ketawain jam;1;;;;;
alami darkjokes sok sok;-1;;;;;
minum kopi pakai sendok kopi;0;;;;;
farizali dongper damn darkjokes;0;;;;;
tebak tebak buah buah bahagia bahagia;1;;;;;
bening asli bebas standar darkjokes bebas;1;;;;;
matahari terbit mana timur pantas timur hitam;-1;;;;;
gasii usaha maksimal okey tapi hanya anggap darkjokes gitu;1;;;;;
lucu jokes anak twitter banget lucu;1;;;;;
bisa darkjokes;0;;;;;
kerumun pakai baju partai politik gapapa;0;;;;;
banding apple apple;0;;;;;
gue suka darkjokes ngejokes least gua sesuai tingkat bawa asa ket;-1;;;;;
was playing chess with friend said lets make this interesting stopped playing chess;1;;;;;
dark jokes kids with cancer never getting old;-1;;;;;
suka darkjokes ngaoa;0;;;;;
yall got any funny jokes want read part live stream later leave them this pos;1;;;;;
temen harap banget surga ibu tidak punya kaki;1;;;;;
kamalinaan hereyna darkjokes pis;0;;;;;
komenlurr permisi paket jawab tonight show;0;;;;;
dark jokes buta takut dilihatin buta karena singgung;-1;;;;;
gelap kakean lihat darkjokes;-1;;;;;
darkjokes diapus;0;;;;;
abis baca darkjokes atheis gabisa dapat jodoh jodoh tang tuhan;0;;;;;
tukang gali kubur harap jual makan harap lapar polisi harap kri;0;;;;;
hyang hyung darkjokes bengek;0;;;;;
though kompilasi darkjokes ketekkiman takut ninuninu;-1;;;;;
fionyjkt darkjokes gelap;-1;;;;;
bingung meme darkjokes okayyy makas audrey;-1;;;;;
bosen kasih darkjokes;1;;;;;
kisah kawas nabi adam jigana mung abi teu pasihan istigfar;0;;;;;
yok kluarin darkjokes nyanyi lagukeluarga panti asuh;0;;;;;
guduk darkjokes arah porn turut;0;;;;;
nama lucu bengek hyung;1;;;;;
ganteng harta;1;;;;;
ovo jokes lucu darkjokes oke ngakak ill hit ur dm;1;;;;;
darkjokes sarcasm;0;;;;;
beda darkjokes jokes beneran;1;;;;;
darkjokes resah;-1;;;;;
stress anjir darkjokes itumah ngerendahin;1;;;;;
youre gay transgender queer etc ur family doesnt accept now ur family because wont;1;;;;;
fess late night party ayo ketawa bareng drop darkjokes baik versi;1;;;;;
koma lomba lama tidur bangsat;-1;;;;;
tolong darkjokes resah bund;-1;;;;;
normal ngevape trick bulet hebat sumbing love;-1;;;;;
tuli alam kubur robbuka hahhh kenapa;0;;;;;
dibandinkan fb twitter jokes twiter jokes;0;;;;;
darkjokes anak daerah viral anggota organisasi masyarakat opresi;0;;;;;
up lekne darkjokes;0;;;;;
ajarin darkjokes;0;;;;;
lord darkjokes;0;;;;;
moga ibu mbak pacar ilfeel seram kepada kerja whatsapp upload dark jokes;-1;;;;;
twitter isnt twitter without selebtwit dokter problematika libtard moralis maha ngomong kasar dark jokes;-1;;;;;
mardial jelek emang tidak aib etika mu aib anak jelek lucu trigger;-1;;;;;
selamat malam doi rambut gua panjang jepitin pas gua main hp lucu ngga doi gua ajajajaj;1;;;;;
selamat malam doi rambut gua panjang jepitin pas gua main hp lucu ngga doi gua;1;;;;;
kasih dark jokes beneran bilang tidak punya asa hati nurani mana;1;;;;;
sadar anak tiktok toxic parah ngatain fisik dikit jadi konten canda;1;;;;;
himbauan juang adil sosial nonton begini jek ketawa sah sok hakim dark jokes;1;;;;;
sadar anak tiktok toxic parah ngatain fisik dikit jadi konten;-1;;;;;
kenapa sebut dark jokes popular kaya gada batas wajar jokes;1;;;;;
libur kemarin udah bilang divisi ningkatin prokes minimalisir had;0;;;;;
suka dark jokes;1;;;;;
ngakak woor dark jokes see lucu;1;;;;;
dark jokes benar bocah;1;;;;;
satire dark jokes noda etis moslem lucu kes wagu dungu;1;;;;;
dark jokesnya cok ngawur sepakat tulis terima kasih tulis;1;;;;;
aman sel tidak ada adegan hanya takut habis nonton trauma;-1;;;;;
pikir jorok hanya jokes dark banget maapin;-1;;;;;
dark jokes lucu;1;;;;;
